A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,2Shock,-0.43,-0.27,-0.15,0.05,-3.06,0.01,-0.18,1772,0.15,0.01,True,hamilton_37,SIR
1Pre,2Shock,0.04,-0.02,0.07,0.06,1.15,0.49,0.07,1774,-0.07,0.51,False,hamilton_37,SR
1Pre,2Shock,-0.77,-0.01,-0.75,0.04,-16.8,0.0,-0.97,1775,0.75,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.1,0.68,-0.78,0.05,-15.7,0.0,-0.91,1792,0.78,0.0,True,hamilton_37,SR
1Pre,2Shock,0.42,-0.22,0.65,0.06,11.72,0.0,0.68,1795,-0.65,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.18,1.07,-1.25,0.03,-37.06,0.0,-2.14,1800,1.25,0.0,True,hamilton_37,SIR
1Pre,2Shock,0.3,0.26,0.04,0.05,0.73,0.75,0.04,1810,-0.04,0.77,False,hamilton_37,SIR
1Pre,2Shock,0.19,0.0,0.19,0.06,3.39,0.0,0.2,1811,-0.19,0.0,True,hamilton_37,SR
1Pre,2Shock,0.05,0.67,-0.62,0.05,-13.0,0.0,-0.75,1812,0.62,0.0,True,hamilton_37,SR
1Pre,2Shock,-0.0,0.45,-0.45,0.05,-8.43,0.0,-0.49,1813,0.45,0.0,True,hamilton_37,SR
1Pre,2Shock,0.05,0.66,-0.61,0.05,-12.78,0.0,-0.74,1814,0.61,0.0,True,hamilton_37,SR
