neuron_id,degree,clust,page_rank,session,shuffle,neuron_type,in_ensemble
1050,0.08200207204966536,0.05515915918615593,0.05577869299552069,hamilton_04,True,SR,True
1051,0.12379450903463636,0.1029750328392061,0.07322579993114392,hamilton_09,True,FF,False
1052,0.08232021705443002,0.06756430317670803,0.051633588112756625,hamilton_09,True,SR,True
1053,0.1790964637447846,0.14025376992359168,0.09741389079625354,hamilton_09,True,FF,True
1054,0.07415466809158443,0.08548962793545475,0.04722539830192599,hamilton_09,True,FF,False
1055,0.06161819749345885,0.0812626060051594,0.04013510948931712,hamilton_09,True,FF,True
1056,0.2173255693307518,0.1593826936916721,0.11635040998437701,hamilton_09,True,SIR,False
1057,0.12548968772283808,0.1295047034719007,0.07097213379953007,hamilton_09,True,FF,True
1058,0.1418911355583547,0.11488150000144477,0.08183037017087882,hamilton_09,True,SR,False
1059,0.13018971390235426,0.09975844375040345,0.07575447853515593,hamilton_09,True,SR,True
1060,0.06086887772806836,0.1108942512539735,0.03982224525496649,hamilton_09,True,SR,False
1061,0.02884536049896414,0.07239363266835187,0.024484808822177944,hamilton_09,True,SR,True
1062,0.1342491900089949,0.10876703045350748,0.0761702036747717,hamilton_09,True,SIR,False
1064,0.06856506857162739,0.2215270485587105,0.042885366142109776,hamilton_09,True,FF,False
1065,0.07927739910421178,0.08442210426954005,0.0481327479156554,hamilton_09,True,SR,False
1068,0.20888241609120345,0.14194882740454534,0.11396344906897976,hamilton_09,True,FF,False
1613,0.0819465200816098,0.09681887906274828,0.021169659919724797,hamilton_31,True,SIR,True
1614,0.08361005616724401,0.09039054329440831,0.021541632758685515,hamilton_31,True,SIR,True
1615,0.09644014802626984,0.10323706407344083,0.02445479380153436,hamilton_31,True,SIR,True
1616,0.05641136455609986,0.08142592212962152,0.015471455684279132,hamilton_31,True,SIR,True
1617,0.07921587788715641,0.08362946145194108,0.02075011630956333,hamilton_31,True,SIR,True
1619,0.06479077574187654,0.07103573190936753,0.017516918627351066,hamilton_31,True,SIR,True
1620,0.05660347572641745,0.07841900990782252,0.0155289351495853,hamilton_31,True,SR,True
1621,0.07218732694895623,0.08192040997652371,0.018994969404485914,hamilton_31,True,SIR,True
1622,0.04522115168700468,0.07797969153198211,0.01292140750526716,hamilton_31,True,SIR,True
1623,0.07143441417615032,0.0983615296240075,0.0186473009200348,hamilton_31,True,SIR,True
1625,0.07877357724975362,0.09140737466416225,0.020408096898852507,hamilton_31,True,SIR,True
1626,0.07664633909797751,0.10003523885098686,0.02002240402432198,hamilton_31,True,SIR,True
1632,0.07337885648369685,0.11140234368642846,0.019234279457943468,hamilton_31,True,SIR,True
1636,0.061871103206187016,0.08289406225951423,0.01674690846388159,hamilton_31,True,SIR,True
1638,0.09114812850857056,0.08838066615283223,0.02335142874401898,hamilton_31,True,SIR,True
1639,0.08127499815863583,0.086806542190912,0.02104315194392859,hamilton_31,True,SIR,True
