neuron_id,waveform_width,peak_asymmetry,mean_firing_rate,cv2_isi,recording_session_id,cluster_id,channel,is_single_unit,session_name,group_name,experiment_name,cv2_burst,is_burster,median_burst
1830,39.0,0.14285714285714285,0.03045502802498201,1.144730346683241,41,356,16,1,hamilton_37,acute_sal,HAMILTON,1.0934071892268653,False,0.032850000000038904
1831,50.0,0.18115942028985507,0.09877306386480653,1.1387931024371831,41,358,5,1,hamilton_37,acute_sal,HAMILTON,0.9953696351584153,True,0.019900000000021123
1832,59.0,0.20557491289198607,0.8546613720524231,0.4577702979212184,41,369,32,1,hamilton_37,acute_sal,HAMILTON,0.44180091502986524,False,0.0260333333333449
1833,16.0,0.06611570247933884,0.40661577957678685,0.8324693239766884,41,370,20,1,hamilton_37,acute_sal,HAMILTON,0.78250501091736,False,0.024733333333188057
1834,39.0,0.13978494623655913,0.31772002209846095,1.0124174448363392,41,372,16,1,hamilton_37,acute_sal,HAMILTON,0.9468494788089837,False,0.02056666666672413
1835,22.0,0.09016393442622951,4.160266576061281,0.44412263511254974,41,374,24,1,hamilton_37,acute_sal,HAMILTON,0.38514969460698734,False,0.03920000000016444
1836,43.0,0.16226415094339622,0.14898270466274982,1.0005248597759235,41,376,1,1,hamilton_37,acute_sal,HAMILTON,0.9426058222660062,False,0.030566666666800302
1837,56.0,0.19047619047619047,0.3950922554592261,1.0428515021778848,41,377,3,1,hamilton_37,acute_sal,HAMILTON,0.915349709395609,False,0.02200000000016189
1839,27.0,0.1067193675889328,5.2308568405070455,0.5633202244459828,42,17,3,1,hamilton_35,acute_sal,HAMILTON,0.35852072378490557,True,0.0361333333333036
1841,71.0,0.27413127413127414,1.7620017114994095,0.4537829546494757,42,19,2,1,hamilton_35,acute_sal,HAMILTON,0.4130843173398672,False,0.024033333333292717
1842,99.0,0.4604651162790698,0.19782049735145973,1.0461219965847037,42,30,3,1,hamilton_35,acute_sal,HAMILTON,1.0097456245467378,False,0.03676666666666506
1843,45.0,0.16853932584269662,3.533606359763453,0.3681917623081579,42,31,4,1,hamilton_35,acute_sal,HAMILTON,0.3452817541212877,False,0.04174999999995066
1844,16.0,0.06557377049180328,1.0014491197403994,0.5194100992448468,42,32,5,1,hamilton_35,acute_sal,HAMILTON,0.6038961161130505,True,0.024233333333427254
1846,67.0,0.23183391003460208,2.294278777881978,0.32700280233239676,42,51,6,1,hamilton_35,acute_sal,HAMILTON,0.27130349980262886,False,0.019166666666706078
1847,30.0,0.11811023622047244,3.3950497007308775,0.4850988637414372,42,53,6,1,hamilton_35,acute_sal,HAMILTON,0.4514524636882683,True,0.039616666666660194
1848,49.0,0.17689530685920576,0.03484494197452897,0.9163927043061489,42,55,6,1,hamilton_35,acute_sal,HAMILTON,0.7375716029511523,True,0.030416666666667425
1850,47.0,0.17472118959107807,1.082936897428865,0.474948705608101,42,72,8,1,hamilton_35,acute_sal,HAMILTON,0.4581621912996568,False,0.020199999999931606
1854,55.0,0.19572953736654805,1.2706057187719972,0.31250384992287533,42,81,9,1,hamilton_35,acute_sal,HAMILTON,0.3110014525511871,False,0.028233333333446353
