neuron_id,lag,time,cc,session_name,bin_width,p,sig
1621,0,0.0,-0.0589072865445702,hamilton_31,1.0,0.0,True
1632,0,0.0,0.1015578659180724,hamilton_31,1.0,0.0,True
1644,0,0.0,0.1285472333171413,hamilton_31,1.0,0.0,True
1645,0,0.0,0.1195649961304934,hamilton_31,1.0,0.0,True
1649,0,0.0,0.0450671371508883,hamilton_31,1.0,0.0,True
1650,0,0.0,0.1211759389396943,hamilton_31,1.0,0.0,True
1655,0,0.0,0.0660440883451119,hamilton_31,1.0,0.0,True
1657,0,0.0,0.1883826381142408,hamilton_31,1.0,0.0,True
1664,0,0.0,0.2118772361288222,hamilton_31,1.0,0.0,True
1666,0,0.0,0.244050895066857,hamilton_31,1.0,0.0,True
1667,0,0.0,0.1529005726295528,hamilton_31,1.0,0.0,True
1668,0,0.0,0.0951982788507813,hamilton_31,1.0,0.0,True
1669,0,0.0,0.2894471419528746,hamilton_31,1.0,0.0,True
1670,0,0.0,0.0325001398146261,hamilton_31,1.0,0.03422619047619048,True
1675,0,0.0,0.1062892124570278,hamilton_31,1.0,0.0,True
1676,0,0.0,-0.0522076938562417,hamilton_31,1.0,0.0,True
1678,0,0.0,0.086683644782082,hamilton_31,1.0,0.0,True
1680,0,0.0,0.19082601131553,hamilton_31,1.0,0.0,True
1683,0,0.0,0.0042219566603138,hamilton_31,1.0,1.5477843915343916,False
1684,0,0.0,0.1108066235614088,hamilton_31,1.0,0.0,True
1685,0,0.0,0.2777877617185685,hamilton_31,1.0,0.0,True
1686,0,0.0,-0.0165175873674139,hamilton_31,1.0,,False
1690,0,0.0,0.0274312934261391,hamilton_38,1.0,0.044778761061946906,True
1693,0,0.0,-0.0118634072223066,hamilton_38,1.0,0.56925,False
1697,0,0.0,-0.0643056375528903,hamilton_38,1.0,0.0,True
1706,0,0.0,0.2444323894228673,hamilton_38,1.0,0.0,True
1708,0,0.0,0.0240667370990769,hamilton_38,1.0,,False
1713,0,0.0,0.3194800259600263,hamilton_38,1.0,0.0,True
1715,0,0.0,-0.0203237232941121,hamilton_38,1.0,0.2340425531914894,False
1721,0,0.0,0.0104375858098904,hamilton_38,1.0,0.9827272727272727,False
1726,0,0.0,0.1002837146002808,hamilton_38,1.0,0.0,True
